case_number,claimant,respondents,status
ARB/18/30,Alverley Investments Limited and Germen Properties Ltd,Romania,Concluded
ARB/18/29,The Carlyle Group L.P. and others,Kingdom of Morocco,Concluded
ARB/18/28,Rasia FZE and Joseph K. Borkowski,Republic of Armenia,Pending
ARB/18/27,Sociedad Aeroportuaria Kuntur Wasi S.A. and Corporación América S.A.,Republic of Peru,Pending
ARB/18/26,ENAGÁS S.A. (España) and ENAGÁS Internacional S.L.U. (España),Republic of Peru,Pending
ARB/18/25,Itochu Corporation,Kingdom of Spain,Pending
ARB/18/24,African Petroleum Senegal Limited,Republic of Senegal,Pending
ARB/18/23,Aris Mining Corporation (formerly known as GCM Mining Corp. and Gran Colombia Gold Corp.),Republic of Colombia,Pending
ARB/18/22,Tantalum International Ltd. and Emerge Gaming Ltd.,Arab Republic of Egypt,Concluded
ARB/18/21,Bay View Group LLC and The Spalena Company LLC,Republic of Rwanda,Concluded
ARB/18/20,Veolia Propreté SAS,Italian Republic,Pending
ARB/18/19,LSG Building Solutions GmbH and others,Romania,Pending
ARB/18/18,Ipek Investment Limited,Republic of Türkiye,Concluded
ARB/18/17,Autopista del Norte S.A.C.,Republic of Peru,Pending
ARB/18/16,Togo Terminal,Republic of Togo,Concluded
ARB/18/15,NEPC Consortium Power Limited,Bangladesh Power Development Board,Concluded
ARB/18/14,HOCHTIEF Infrastructure GmbH,Kingdom of Saudi Arabia,Concluded
ARB/18/13,Galway Gold Inc.,Republic of Colombia,Pending
ARB/18/12,Red Eagle Exploration Limited,Republic of Colombia,Pending
ARB/18/11,Société des Parcs d’Alger and Emirates International Investment Company LLC,People’s Democratic Republic of Algeria,Concluded
ARB/18/10,"West African Aquaculture Ltd, Kurt Lennart Hansson and Martje Bolt Hansson",Republic of The Gambia,Pending
ARB/18/9,Delta Belarus Holding BV,Republic of Belarus,Concluded
ARB/18/8,Rand Investments Ltd. and others,Republic of Serbia,Concluded
ARB/18/7,Corral Morocco Holdings AB,Kingdom of Morocco,Pending
UNCT/18/6,Sacyr S.A.,Republic of Panama,Pending
ARB(AF)/18/6,Dick Fernando Abanto Ishivata,Bolivarian Republic of Venezuela,Pending
ARB/18/6,Cem Selçuk Ersoy,Republic of Azerbaijan,Concluded
UNCT/18/5,PACC Offshore Services Holdings Ltd,United Mexican States,Concluded
ARB(AF)/18/5,Banco Bilbao Vizcaya Argentaria S.A.,Plurinational State of Bolivia,Concluded
ARB/18/5,Astrida Benita Carrizosa,Republic of Colombia,Concluded
UNCT/18/4,Alicia Grace and others,United Mexican States,Pending
ARB(AF)/18/4,Public Joint Stock Company Mobile TeleSystems,Turkmenistan,Concluded
ARB/18/4,Cascade Investments NV,Republic of Turkey,Concluded
UNCT/18/3,Michael Anthony Lee-Chin,Dominican Republic,Pending
ARB(AF)/18/3,"Kimberly-Clark Dutch Holdings, B.V., Kimberly-Clark S.L.U., and Kimberly-Clark BVBA",Bolivarian Republic of Venezuela,Concluded
ARB/18/3,"Telefónica, S.A.",Republic of Colombia,Pending
UNCT/18/2,Gramercy Funds Management LLC and Gramercy Peru Holdings LLC,Republic of Peru,Concluded
ARB(AF)/18/2,Shin Dong Baig,Socialist Republic of Vietnam,Concluded
ARB/18/2,Almasryia for Operating & Maintaining Touristic Construction Co. L.L.C.,State of Kuwait,Pending
UNCT/18/1,"Naturgy Energy Group, S.A. and Naturgy Electricidad Colombia, S.L. (formerly Gas Natural SDG, S.A. and Gas Natural Fenosa Electricidad Colombia, S.L.)",Republic of Colombia,Concluded
ADM/18/1 and SCC Case No. V2018/039,"Gardabani Holdings B.V., Inter RAO UES PJSC, Telasi JSC","Government of Georgia, Ministry of Economy and Sustainable Development of Georgia, State Service Bureau Ltd",Concluded
CONC/18/1,Société d’Energie et d’Eau du Gabon,Gabonese Republic,Concluded
ARB/18/1,ACF Renewable Energy Limited,Republic of Bulgaria,Pending
ARB(AF)/18/1,GRAND EXPRESS Non-Public Joint Stock Company,Republic of Belarus,Pending
ARB/17/49,Erste Group Bank AG and others,Republic of Croatia,Concluded
ARB/17/48,"Wise Solutions CDI, SA",Republic of Côte d'Ivoire,Concluded
ARB/17/47,AS PNB Banka and others,Republic of Latvia,Pending
ARB/17/46,Cunico Resources N.V.,Republic of North Macedonia,Concluded
ARB/17/45,Mazen Al Ramahi,Hungary,Concluded
ARB/17/44,The Lopez-Goyne Family Trust and others,Republic of Nicaragua,Concluded
ARB/17/43,"Samsung Engineering Co., Ltd.",Kingdom of Saudi Arabia,Concluded
ARB/17/42,MAKAE Europe SARL,Kingdom of Saudi Arabia,Concluded
ARB/17/41,DCM Energy GmbH & Co. Solar 1 KG and others,Kingdom of Spain,Pending
ARB/17/40,APCL Gambia B.V.,Republic of The Gambia,Concluded
ARB/17/39,African Petroleum Gambia Limited and APCL Gambia B.V.,Republic of The Gambia,Concluded
ARB/17/38,Petronor E&P Gambia Limited and APCL Gambia B.V.,Republic of The Gambia,Concluded
ARB/17/37,Addiko Bank AG and Addiko Bank d.d.,Republic of Croatia,Pending
ARB/17/36,Edmond Khudyan and Arin Capital & Investment Corp.,Republic of Armenia,Pending
ARB/17/35,Addiko Bank AG,Montenegro,Concluded
ARB/17/34,Raiffeisen Bank International AG and Raiffeisenbank Austria d.d.,Republic of Croatia,Concluded
